effectivity_date,product,price_mid
2019-07-02,DIESEL,51.33435185185185
2019-07-02,DIESEL PLUS,42.89887931034483
2019-07-02,KEROSENE,45.005405405405405
2019-07-02,RON 100,48.69
2019-07-02,RON 91,52.47120370370371
2019-07-02,RON 95,53.79195121951219
2019-07-02,RON 97,56.499
2019-07-09,DIESEL,51.18453125
2019-07-09,DIESEL PLUS,42.39694029850747
2019-07-09,KEROSENE,44.69880952380952
2019-07-09,RON 100,47.40208333333334
2019-07-09,RON 91,52.41293650793651
2019-07-09,RON 95,54.142209302325575
2019-07-09,RON 97,56.645
2019-07-16,DIESEL,52.13507936507936
2019-07-16,DIESEL PLUS,43.01621212121212
2019-07-16,KEROSENE,45.475875
2019-07-16,RON 100,48.88545454545454
2019-07-16,RON 91,53.30786885245901
2019-07-16,RON 95,55.11651162790698
2019-07-16,RON 97,57.622
2019-08-06,DIESEL,51.913492063492065
2019-08-06,DIESEL PLUS,50.56307692307692
2019-08-06,KEROSENE,43.179746835443034
2019-08-06,RON 100,45.13388888888889
2019-08-06,RON 91,53.875972222222224
2019-08-06,RON 95,55.533125
2019-08-06,RON 97,48.42772727272727
2019-08-14,DIESEL,50.17859375
2019-08-14,DIESEL PLUS,42.15205128205128
2019-08-14,KEROSENE,43.0251724137931
2019-08-14,RON 100,45.093809523809526
2019-08-14,RON 91,51.75691666666667
2019-08-14,RON 95,52.11044117647059
2019-08-14,RON 97,53.610769230769236
2019-08-20,DIESEL,50.66795081967213
2019-08-20,DIESEL PLUS,42.401015625
2019-08-20,KEROSENE,44.729594594594595
2019-08-20,RON 100,47.862
2019-08-20,RON 91,51.774836065573766
2019-08-20,RON 95,53.70279411764706
2019-08-20,RON 97,56.345000000000006
2019-08-27,DIESEL,50.358467741935485
2019-08-27,DIESEL PLUS,42.19515384615384
2019-08-27,KEROSENE,44.58825
2019-08-27,RON 100,47.92722222222223
2019-08-27,RON 91,51.36370967741936
2019-08-27,RON 95,53.646410256410256
2019-08-27,RON 97,56.13199999999999
2019-09-03,DIESEL,51.85928571428571
2019-09-03,DIESEL PLUS,42.42
2019-09-03,KEROSENE,45.73125
2019-09-03,RON 91,52.542142857142856
2019-09-03,RON 95,55.10125
2019-09-10,DIESEL,51.35928571428571
2019-09-10,DIESEL PLUS,42.28785714285714
2019-09-10,KEROSENE,45.62125
2019-09-10,RON 91,52.04357142857143
2019-09-10,RON 95,54.60125
2019-09-17,DIESEL,51.49375
2019-09-17,DIESEL PLUS,42.950254237288135
2019-09-17,KEROSENE,44.7428947368421
2019-09-17,RON 100,48.9135
2019-09-17,RON 91,52.38
2019-09-17,RON 95,54.553250000000006
2019-09-17,RON 97,56.435
2019-09-24,DIESEL,53.51655172413793
2019-09-24,DIESEL PLUS,44.66677419354839
2019-09-24,KEROSENE,46.43585365853658
2019-09-24,RON 100,50.4705
2019-09-24,RON 91,54.14473684210526
2019-09-24,RON 95,56.60463414634146
2019-09-24,RON 97,58.561
2019-10-01,DIESEL,51.98581967213115
2019-10-01,DIESEL PLUS,43.91007692307693
2019-10-01,KEROSENE,45.867045454545455
2019-10-01,RON 100,49.912
2019-10-01,RON 91,52.750263157894736
2019-10-01,RON 95,55.54725
2019-10-01,RON 97,57.111000000000004
2019-10-10,DIESEL,51.37517241379311
2019-10-10,DIESEL PLUS,43.08782258064517
2019-10-10,KEROSENE,44.617439024390244
2019-10-10,RON 100,49.16888888888889
2019-10-10,RON 91,52.157631578947374
2019-10-10,RON 95,54.75789473684211
2019-10-10,RON 97,56.495000000000005
2019-10-15,DIESEL,51.005403225806454
2019-10-15,DIESEL PLUS,42.74856060606061
2019-10-15,KEROSENE,44.41416666666667
2019-10-15,RON 100,48.746111111111105
2019-10-15,RON 91,52.24691666666667
2019-10-15,RON 95,54.675789473684205
2019-10-15,RON 97,56.39
2019-10-22,DIESEL,51.115625
2019-10-22,DIESEL PLUS,42.664632352941176
2019-10-22,KEROSENE,44.46852272727273
2019-10-22,RON 100,48.54611111111111
2019-10-22,RON 91,52.16475806451613
2019-10-22,RON 95,54.41921052631579
2019-10-22,RON 97,56.28333333333333
2019-10-29,DIESEL,50.61060606060607
2019-10-29,DIESEL PLUS,42.5425
2019-10-29,KEROSENE,44.42545454545455
2019-10-29,RON 100,48.201499999999996
2019-10-29,RON 91,51.65968253968254
2019-10-29,RON 95,53.65190476190477
2019-10-29,RON 97,55.84444444444445
2019-11-05,DIESEL,50.51053030303031
2019-11-05,DIESEL PLUS,42.298428571428566
2019-11-05,KEROSENE,44.10440476190476
2019-11-05,RON 100,48.1015
2019-11-05,RON 91,51.4877868852459
2019-11-05,RON 95,53.60333333333334
2019-11-05,RON 97,55.715999999999994
2019-11-12,DIESEL,51.835967741935484
2019-11-12,DIESEL PLUS,42.26425373134328
2019-11-12,KEROSENE,42.51813953488372
2019-11-12,RON 100,47.98552631578948
2019-11-12,RON 91,52.86254237288136
2019-11-12,RON 95,54.85144578313253
2019-11-12,RON 97,56.17636363636364
2019-11-26,DIESEL,51.64046875
2019-11-26,DIESEL PLUS,41.843014705882354
2019-11-26,KEROSENE,43.679545454545455
2019-11-26,RON 100,47.541818181818186
2019-11-26,RON 91,52.87885245901639
2019-11-26,RON 95,54.721395348837206
2019-11-26,RON 97,57.037
2019-12-03,DIESEL,51.980234375
2019-12-03,DIESEL PLUS,42.37463235294118
2019-12-03,KEROSENE,44.21988636363636
2019-12-03,RON 100,47.802727272727275
2019-12-03,RON 91,53.01975409836066
2019-12-03,RON 95,55.05116279069767
2019-12-03,RON 97,57.126999999999995
2019-12-10,DIESEL,51.24172131147541
2019-12-10,DIESEL PLUS,42.31684615384615
2019-12-10,KEROSENE,44.313125
2019-12-10,RON 100,47.77285714285714
2019-12-10,RON 91,52.58418032786885
2019-12-10,RON 95,54.45878048780488
2019-12-10,RON 97,56.88099999999999
2019-12-17,DIESEL,51.1605737704918
2019-12-17,DIESEL PLUS,42.55492307692308
2019-12-17,KEROSENE,44.53075
2019-12-17,RON 100,48.567142857142855
2019-12-17,RON 91,52.553360655737706
2019-12-17,RON 95,54.49463414634147
2019-12-17,RON 97,56.745000000000005
2019-12-24,DIESEL,51.01270491803279
2019-12-24,DIESEL PLUS,43.52915384615385
2019-12-24,KEROSENE,45.787
2019-12-24,RON 100,49.411904761904765
2019-12-24,RON 91,52.39311475409836
2019-12-24,RON 95,54.306585365853664
2019-12-24,RON 97,56.323
2019-12-31,DIESEL,52.37518518518519
2019-12-31,DIESEL PLUS,44.34364406779661
2019-12-31,KEROSENE,46.188809523809525
2019-12-31,RON 100,49.295
2019-12-31,RON 91,53.666320754716985
2019-12-31,RON 95,54.55128205128205
2019-12-31,RON 97,57.279999999999994
2020-01-07,DIESEL,52.13649122807018
2020-01-07,DIESEL PLUS,44.409596774193545
2020-01-07,KEROSENE,46.445952380952384
2020-01-07,RON 100,49.934
2020-01-07,RON 91,53.48324561403509
2020-01-07,RON 95,54.62146341463415
2020-01-07,RON 97,57.17999999999999
2020-01-14,DIESEL,52.18280701754386
2020-01-14,DIESEL PLUS,44.336612903225806
2020-01-14,KEROSENE,46.21261904761905
2020-01-14,RON 100,49.644
2020-01-14,RON 91,53.306228070175436
2020-01-14,RON 95,54.569756097560976
2020-01-14,RON 97,56.964
2020-01-21,DIESEL,52.74324561403508
2020-01-21,DIESEL PLUS,51.42491666666667
2020-01-21,KEROSENE,43.561800000000005
2020-01-21,RON 100,43.820263157894736
2020-01-21,RON 91,53.89527777777778
2020-01-21,RON 95,54.831875
2020-01-21,RON 97,47.642
2020-01-28,DIESEL,50.736636363636364
2020-01-28,DIESEL PLUS,42.41601694915254
2020-01-28,KEROSENE,44.73095238095238
2020-01-28,RON 100,47.159000000000006
2020-01-28,RON 91,52.06064814814815
2020-01-28,RON 95,53.46825581395349
2020-01-28,RON 97,55.814
2020-02-04,DIESEL,49.37954545454546
2020-02-04,DIESEL PLUS,41.02347457627119
2020-02-04,KEROSENE,43.01261904761905
2020-02-04,RON 100,45.2515
2020-02-04,RON 91,50.853181818181824
2020-02-04,RON 95,52.09634146341463
2020-02-04,RON 97,54.090999999999994
